1,js,javascript,,
2,py,python,,
3,seq,sequence,,
4,auto,automatic,,
5,config,configuration,,
6,app,application,,
7,cpp,cplusplus,,
8,ms,microsoft,,
9,cnn,convolutional,neural,network
10,ai,artificial,intelligence,
11,rnn,recurrent,neural,network
12,ml,machine,learning,
13,nlp,natural,language,processing
14,todo,To-do,,
15,backend,Back-end,,
16,frontend,Front-end,,
17,springboot,Spring-boot,,
18,csharp,C-sharp,,
19,aspnet,Asp-net,,
20,notif,notification,,
21,webdriver,Web-driver,,
22,webpack,Web-pack,,
23,javafx,java,fx,
24,rxjava,rx,java,
25,async,asynchronous,,
26,sync,synchronous,,
27,sys,system,,
28,fs,filesystem,,
29,doc,document,,
30,pkg,package,,
31,vb,Visual-basic,,
32,visualbasic,Visual-basic,,
33,env,environment,,
34,spec,specification,,
35,dnn,deep,neural,network
36,cmd,command,,
37,win,windows,,
38,vm,Virtual-machine,,
39,db,database,,
40,virtualmachine,Virtual-machine,,
41,vr,Virtual-reality,,
42,virtualreality,Virtual-reality,,
43,ar,Augmented-reality,,
44,Augmentedreality,Augmented-reality,,
45,tty,terminal,,
46,cfg,configuration,,
47,oo,Object-oriented,,
48,objectoriented,Object-oriented,,
49,dev,develop,,
50,gen,generate,,
